rule_id	evidence	severity	class	label	gtfs_file	corpus_feeds_with_file	file_anchor	suppressed_by	suppressor_fired	emit_sites	message
AGN_002		Kritik	Spec	SELECTION_BIAS	agency.txt	240	modül			1	agency_name eksik
AGN_009		Dusuk	Spec	PREDICATE_SUSPECT	agency.txt	240	modül	ARC_002	no	1	agency_email geçersiz
AGN_012		Dusuk	Spec	PREDICATE_SUSPECT	agency.txt	240	modül			2	agency_cemv_support geçersiz
AGN_014		Kritik	Spec	SELECTION_BIAS	agency.txt	240	modül			1	Birden fazla kuruluş var ama agency.txt'de agency_id eksik
AGN_016		Bilgi	Quality	PREDICATE_SUSPECT	agency.txt	240	modül			1	agency_phone bilinen yer-tutucu/şüpheli numara
ARC_001	MEASURED 2026-08-15: correct. Truncating a real archive by 256 bytes destroys the end-of-central-directory record and produces Fatal(ZipUnreadable). This is one of only two FatalCode variants production code actually constructs.	Kritik	Spec	FATAL_PATH	shapes.txt	199	grup			0	ZIP arşivi açılamadı
ARC_002	MEASURED 2026-08-15: correct, but NOT via the fatal path. Invalid UTF-8 bytes in a required file produce a NOTICE, not Fatal(Utf8Critical) - that variant is never constructed anywhere in production code. The FatalCode comment claiming otherwise is wrong, and the test was written by falsifying that assumption.	Kritik	Quality	PREDICATE_SUSPECT	shapes.txt	199	grup			2	Dosya UTF-8 ile okunamıyor
ARC_003		Orta	Quality	PREDICATE_SUSPECT	shapes.txt	199	grup			1	İsteğe bağlı dosyada UTF-8 kodlama hatası
ARC_013	MEASURED 2026-08-15: correct, as a NOTICE. An unclosed quote in routes.txt fails CSV tokenization; the file goes to partial.unavailable_files and ARC_013 is emitted. Fatal(CsvMalformed) is never constructed.	Kritik	Spec	PREDICATE_SUSPECT	shapes.txt	199	grup			2	CSV ayrıştırma hatası
ARC_015		Kritik	Interop	PREDICATE_SUSPECT	shapes.txt	199	grup	ARC_012	yes	1	Yinelenen başlık sütunu
ARC_018		Orta	Quality	SELECTION_BIAS	stop_times.txt	239	modül			3	Boş veri satırı
ARC_019		Yuksek	Quality	SELECTION_BIAS	shapes.txt	199	grup			1	Başlıkta boş sütun adı
ARC_023		Orta	Quality	PREDICATE_SUSPECT	shapes.txt	199	grup			1	ZIP içinde nested ZIP dosyası — GTFS formatında desteklenmez
ARC_026	MEASURED 2026-08-15 by a full 242-feed run with the current binary: genuinely zero. Previously this was unmeasured rather than measured, because rule_stats.csv predates the rule; the silence is now a real observation.	Orta	Spec	POST_BASELINE	shapes.txt	199	grup			2	Dosyada hatalı satır sonu karakteri
ARC_027		Bilgi	Quality	SELECTION_BIAS	shapes.txt	199	grup			1	ZIP girdisinde kullanıcı okuma izni yok
ARC_028		Dusuk	Quality	PREDICATE_SUSPECT	shapes.txt	199	grup			1	GTFS yayın URL'si .zip dosya adıyla bitmiyor
ARC_029	MEASURED 2026-08-15: correct. Adding a 24 MiB single-byte member to a real archive exceeds ratio_floor (16 MiB) at roughly 1000:1, well under both absolute caps, so it provably trips the RATIO path rather than a size ceiling. Fatal(DecompressionLimit).	Kritik	Quality	FATAL_PATH	shapes.txt	199	grup			0	Sıkıştırma koruması: arşiv zip-bomb sınırını aştı
ARS_001		Kritik	Spec	CROSS_FILE						1	area_id yineleniyor
ARS_002		Kritik	Spec	CROSS_FILE						1	areas.txt'te area_id boş
ATR_002		Kritik	Spec	SELECTION_BIAS	attributions.txt	14	modül			1	organization_name eksik
ATR_003		Yuksek	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	Attribution rolü tanımlanmamış
ATR_004	MEASURED 2026-08-15 (#131): correct. is_producer=9 on mdb-2931 fires it with no side effects, because the row keeps a valid role in is_operator.	Kritik	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	is_producer geçersiz
ATR_005	MEASURED 2026-08-15 (#131): correct. is_operator=9 on mdb-2931 fires it, and ATR_003 follows because is_operator was the row's only defined role - the asymmetry with ATR_004 comes from the data, not from a rule inconsistency.	Kritik	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	is_operator geçersiz
ATR_006	MEASURED 2026-08-15 (#131): correct. is_authority=9 on mdb-2931 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	is_authority geçersiz
ATR_007	MEASURED 2026-08-15 (#131): correct. A malformed attribution_url on mdb-2931 fires it; the row was chosen by fill rate, since only 8 of 18 rows populate that column. Falsified by disabling the looks_like_url check.	Kritik	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	attribution_url geçersiz
ATR_008		Dusuk	Spec	PREDICATE_SUSPECT	attributions.txt	14	modül			1	attribution_email geçersiz
ATR_010		Dusuk	Spec	SELECTION_BIAS	attributions.txt	14	grup	ARC_002	no	1	agency_id bulunamadı
ATR_011		Dusuk	Spec	SELECTION_BIAS	attributions.txt	14	grup	RTS_001	yes	1	route_id bulunamadı
ATR_012		Dusuk	Spec	SELECTION_BIAS	attributions.txt	14	grup			1	trip_id bulunamadı
BKR_001		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül	BKR_016	no	2	Önceki gün rezervasyon alanı yasak bağlamda dolu
BKR_002		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	prior_notice_start_day yalnızca prior_notice_last_day ile kullanılabilir
