id,mevcut_sınıf,mevcut_severity,mevcut_R1_mi,claude_karar,other_ai_karar,uzlaşı_sınıf,uzlaşı_authority_source,uzlaşı_confidence,spec_anchor,normatif_ibare,round2_required,r1_değişimi,gerekçe,notlar
AGN_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency.txt dosyası eksik
AGN_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_name eksik
AGN_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_url eksik veya geçersiz
AGN_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_timezone eksik veya geçersiz
AGN_006,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_lang geçersiz
AGN_008,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_fare_url geçersiz
AGN_009,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_email geçersiz
AGN_010,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Birincil anahtar benzersizliği (uniqueness),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id yineleniyor
AGN_011,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Birden fazla kuruluşta agency_id yok
AGN_014,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#agencytxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Birden fazla kuruluş var ama agency.txt'de agency_id eksik
